iter	MultiClass
0	1.876641008
1	1.823299737
2	1.783079611
3	1.7480673
4	1.724615642
5	1.704159182
6	1.684748219
7	1.666714301
8	1.651937056
9	1.636838914
10	1.624921045
11	1.612757599
12	1.603874062
13	1.594095171
14	1.584613172
15	1.575498032
16	1.567625474
17	1.561297899
18	1.554679546
19	1.548052423
20	1.543057401
21	1.538475598
22	1.533171293
23	1.527766948
24	1.523579771
25	1.519419074
26	1.513842831
27	1.509607632
28	1.505449692
29	1.501872279
30	1.497806731
31	1.496160599
32	1.49321622
33	1.489070262
34	1.485889557
35	1.482539732
36	1.478976786
37	1.47576197
38	1.47338497
39	1.470875489
40	1.467094449
41	1.464431393
42	1.461323906
43	1.459835879
44	1.457851454
45	1.454531695
46	1.451813565
47	1.449136469
48	1.447042017
49	1.444162099
50	1.441899692
51	1.439008882
52	1.435875817
53	1.434034402
54	1.431268337
55	1.428858762
56	1.426614264
57	1.424790585
58	1.422822692
59	1.421003645
60	1.418177883
61	1.415846578
62	1.414466153
63	1.412698959
64	1.410400684
65	1.408597307
66	1.406057934
67	1.404687623
68	1.403244989
69	1.401815505
70	1.399714552
71	1.397458135
72	1.396238574
73	1.393879721
74	1.391301363
75	1.389319417
76	1.388181395
77	1.386721566
78	1.384575512
79	1.383175778
80	1.38147595
81	1.379458437
82	1.377972599
83	1.376089862
84	1.374084848
85	1.372721621
86	1.370936368
87	1.369820961
88	1.368246132
89	1.366923078
90	1.365101035
91	1.363469991
92	1.362519272
93	1.361264724
94	1.360178322
95	1.358223309
96	1.355929241
97	1.354418875
98	1.353284512
99	1.35159019
100	1.350281643
101	1.349059459
102	1.347910647
103	1.346591356
104	1.344976088
105	1.343518251
106	1.341662575
107	1.340062396
108	1.338919117
109	1.337648964
110	1.336203647
111	1.334747887
112	1.333668793
113	1.332077221
114	1.330715516
115	1.329195219
116	1.328311789
117	1.327066314
118	1.326055726
119	1.325089123
120	1.323606788
121	1.321970893
122	1.320711165
123	1.319648305
124	1.31810145
125	1.316248928
126	1.315289571
127	1.314017703
128	1.313050298
129	1.31103734
130	1.309974402
131	1.309133661
132	1.308428588
133	1.307005538
134	1.306301655
135	1.304384053
136	1.303557849
137	1.303106849
138	1.301796385
139	1.300246475
140	1.299066198
141	1.29805465
142	1.296529689
143	1.295359517
144	1.293958152
145	1.292352781
146	1.291002013
147	1.290173039
148	1.2888497
149	1.287970691
150	1.287253743
151	1.286155906
152	1.284177244
153	1.283183354
154	1.282409885
155	1.281067513
156	1.279923354
157	1.278508281
158	1.276867673
159	1.275808516
160	1.274158777
161	1.272722638
162	1.270944384
163	1.269339346
164	1.268280737
165	1.267533403
166	1.266533183
167	1.265865389
168	1.264930615
169	1.263582208
170	1.262879506
171	1.261674129
172	1.260924434
