iter	Passed	Remaining
0	139	69722
1	146	36436
2	151	25102
3	157	19489
4	162	16107
5	168	13834
6	172	12134
7	176	10874
8	181	9896
9	186	9114
10	190	8461
11	194	7925
12	199	7472
13	203	7079
14	208	6728
15	212	6426
16	217	6167
17	221	5935
18	226	5737
19	231	5553
20	235	5382
21	240	5232
22	245	5090
23	249	4956
24	254	4835
25	259	4727
26	264	4625
27	268	4526
28	273	4435
29	277	4349
30	282	4271
31	286	4196
32	291	4124
33	295	4056
34	300	3989
35	304	3927
36	309	3872
37	313	3816
38	318	3764
39	323	3718
40	328	3677
41	333	3634
42	338	3598
43	342	3554
44	347	3512
45	352	3475
46	356	3438
47	361	3405
48	366	3374
49	371	3344
50	376	3316
51	382	3292
52	387	3269
53	393	3245
54	398	3224
55	404	3203
56	409	3181
57	414	3157
58	418	3129
59	423	3106
60	428	3083
61	433	3065
62	438	3044
63	444	3025
64	449	3007
65	454	2989
66	459	2971
67	464	2952
68	469	2932
69	474	2915
70	479	2898
71	485	2885
72	491	2872
73	497	2862
74	502	2850
75	508	2835
76	513	2820
77	517	2801
78	523	2787
79	527	2770
80	532	2755
81	537	2738
82	542	2725
83	547	2712
84	552	2699
85	557	2686
86	562	2671
87	567	2658
88	572	2644
89	578	2633
90	583	2621
91	588	2607
92	592	2593
93	598	2583
94	603	2573
95	609	2566
96	615	2558
97	620	2546
98	625	2535
99	630	2523
100	636	2513
101	641	2503
102	647	2494
103	652	2485
104	658	2475
105	663	2465
106	668	2454
107	673	2444
108	678	2433
109	683	2424
110	688	2414
111	694	2405
112	699	2394
113	704	2384
114	708	2373
115	713	2362
116	718	2352
117	723	2341
118	727	2329
119	732	2318
120	736	2306
121	741	2296
122	746	2286
123	751	2277
124	755	2267
125	760	2258
126	765	2248
127	770	2238
128	774	2227
129	779	2217
130	784	2210
131	790	2202
132	795	2193
133	799	2184
134	804	2175
135	809	2166
136	813	2156
137	818	2148
138	824	2140
139	829	2133
140	835	2126
141	840	2119
142	846	2112
143	852	2107
144	857	2099
145	863	2092
146	868	2086
147	873	2078
148	879	2071
149	885	2065
150	890	2058
151	895	2051
152	901	2043
153	906	2036
154	912	2030
155	918	2024
156	924	2018
157	931	2016
158	938	2011
159	943	2005
160	949	1999
161	955	1993
162	960	1986
163	966	1980
164	971	1972
165	976	1965
166	982	1958
167	988	1952
168	994	1947
169	1000	1942
170	1007	1937
171	1013	1932
172	1018	1926
173	1024	1919
174	1029	1912
175	1035	1905
176	1040	1898
177	1045	1891
178	1051	1885
179	1056	1877
180	1061	1870
181	1066	1863
182	1071	1856
183	1078	1851
184	1083	1845
185	1089	1839
186	1095	1833
187	1100	1827
188	1106	1820
189	1111	1813
190	1117	1808
191	1123	1801
192	1128	1795
193	1133	1788
194	1139	1781
195	1144	1775
196	1149	1768
197	1155	1762
198	1161	1756
199	1166	1750
200	1172	1743
201	1177	1736
202	1182	1730
203	1187	1723
204	1193	1716
205	1197	1709
206	1202	1702
207	1207	1695
208	1212	1688
209	1217	1681
210	1223	1675
211	1227	1667
212	1232	1660
213	1237	1654
214	1242	1646
215	1247	1639
216	1251	1632
217	1256	1625
218	1261	1618
219	1265	1610
220	1270	1603
221	1274	1596
222	1279	1589
223	1284	1582
224	1289	1575
225	1293	1568
226	1298	1562
227	1304	1555
228	1309	1549
229	1314	1543
230	1319	1536
231	1324	1529
232	1329	1523
233	1333	1516
234	1338	1509
235	1343	1502
236	1348	1496
237	1353	1489
238	1358	1483
239	1363	1476
