ID,Strand,Circtype,miRNA Binding count,Average free energy,length,GC_content,A_ratio,T_ratio,G_ratio,C_ratio,has_N,Tissue
sample_0001,1,type_0,18,-18.508,328,0.4207,0.2226,0.3567,0.2073,0.2134,FALSE,label_0
sample_0002,1,type_0,2,-23.005,250,0.48,0.34,0.18,0.275,0.205,TRUE,label_1
sample_0003,0,type_0,1,-16.44,95,0.4316,0.0421,0.5263,0.1263,0.3053,FALSE,label_1
sample_0004,1,type_0,3,-18.273,93,0.3978,0.4086,0.1935,0.2258,0.172,FALSE,label_2
sample_0005,1,type_0,3,-19.603,250,0.425,0.25,0.325,0.235,0.19,TRUE,label_0
sample_0006,1,type_0,5,-20.012,269,0.5502,0.3011,0.1487,0.3123,0.2379,FALSE,label_0
sample_0007,1,type_0,4,-17.28,261,0.5632,0.1916,0.2452,0.2874,0.2759,FALSE,label_3
sample_0008,0,type_0,2,-17.44,250,0.49,0.21,0.3,0.235,0.255,TRUE,label_4
sample_0009,0,type_0,3,-26.637,250,0.54,0.25,0.21,0.275,0.265,TRUE,label_3
sample_0010,0,type_0,21,-18.564,878,0.4077,0.279,0.3132,0.1936,0.2141,FALSE,label_5
sample_0011,0,type_1,4,-17.842,150,0.5333,0.2667,0.2,0.28,0.2533,FALSE,label_6
sample_0012,0,type_2,42,-17.18,1180,0.3203,0.3475,0.3322,0.1814,0.139,FALSE,label_0
sample_0013,1,type_0,2,-17.707,122,0.4426,0.2869,0.2705,0.1148,0.3279,FALSE,label_2
sample_0014,1,type_2,46,-19.513,1446,0.4869,0.2946,0.2185,0.2386,0.2483,FALSE,label_1
sample_0015,0,type_3,9,-18.777,203,0.5025,0.2956,0.202,0.2906,0.2118,FALSE,label_2
sample_0016,0,type_1,1,-21.37,68,0.3676,0.2647,0.3676,0.1471,0.2206,FALSE,label_1
sample_0017,1,type_0,9,-19.581,446,0.3767,0.3341,0.2892,0.1883,0.1883,FALSE,label_6
sample_0018,1,type_0,61,-19.281,1033,0.4288,0.2962,0.2749,0.2285,0.2004,FALSE,label_2
sample_0019,0,type_0,9,-20.665,160,0.5188,0.2375,0.2437,0.25,0.2687,FALSE,label_1
sample_0020,0,type_0,7,-19.301,149,0.302,0.3624,0.3356,0.1745,0.1275,FALSE,label_6
sample_0021,1,type_3,11,-19.756,225,0.4444,0.2356,0.32,0.2667,0.1778,FALSE,label_0
sample_0022,1,type_0,29,-18.529,1144,0.4318,0.2535,0.3147,0.2037,0.2281,FALSE,label_5
sample_0023,1,type_0,15,-17.564,298,0.396,0.2584,0.3456,0.1913,0.2047,FALSE,label_0
sample_0024,1,type_0,6,-19.69,196,0.4133,0.25,0.3367,0.25,0.1633,FALSE,label_4
sample_0025,1,type_3,32,-19.739,1219,0.5865,0.1739,0.2395,0.3019,0.2847,FALSE,label_1
sample_0026,1,type_0,6,-19.265,211,0.4645,0.346,0.1896,0.2464,0.218,FALSE,label_4
sample_0027,1,type_0,4,-19.22,246,0.3618,0.1585,0.4797,0.1504,0.2114,FALSE,label_5
sample_0028,1,type_3,29,-19.844,721,0.4882,0.2954,0.2164,0.2358,0.2524,FALSE,label_1
sample_0029,1,type_0,15,-19.847,538,0.3903,0.2974,0.3123,0.2063,0.184,FALSE,label_2
sample_0030,0,type_0,37,-19.148,1683,0.2846,0.4201,0.2953,0.1367,0.148,FALSE,label_3
sample_0031,0,type_0,18,-18.618,150,0.4533,0.2933,0.2533,0.18,0.2733,FALSE,label_0
sample_0032,1,type_0,55,-19.785,1005,0.4945,0.2428,0.2627,0.2249,0.2697,FALSE,label_0
sample_0033,1,type_0,29,-18.97,1083,0.4174,0.3047,0.2779,0.1902,0.2271,FALSE,label_0
sample_0034,0,type_0,3,-17.442,279,0.4409,0.233,0.3262,0.2151,0.2258,FALSE,label_3
sample_0035,0,type_3,20,-19.426,312,0.5897,0.2724,0.1378,0.3526,0.2372,FALSE,label_2
sample_0036,0,type_0,7,-19.191,127,0.4488,0.3465,0.2047,0.063,0.3858,FALSE,label_1
sample_0037,0,type_0,31,-18.187,2713,0.3056,0.3376,0.3568,0.1471,0.1585,FALSE,label_1
sample_0038,1,type_4,62,-18.285,1903,0.3868,0.3011,0.3121,0.1923,0.1944,FALSE,label_1
sample_0039,1,type_0,16,-20.722,314,0.5987,0.2452,0.1561,0.3408,0.258,FALSE,label_3
sample_0040,0,type_3,5,-20.994,187,0.631,0.2086,0.1604,0.2567,0.3743,FALSE,label_3
sample_0041,0,type_0,72,-18.77,2807,0.4093,0.3064,0.2843,0.1974,0.212,FALSE,label_2
sample_0042,1,type_0,9,-19.534,226,0.4779,0.2257,0.2965,0.2478,0.2301,FALSE,label_3
sample_0043,1,type_3,11,-19.846,287,0.4808,0.2718,0.2474,0.2648,0.216,FALSE,label_1
sample_0044,1,type_1,23,-19.84,553,0.4087,0.3255,0.2658,0.217,0.1917,FALSE,label_2
sample_0045,1,type_0,77,-18.758,2956,0.3887,0.2919,0.3194,0.2043,0.1844,FALSE,label_1
sample_0046,0,type_3,29,-20.885,823,0.5237,0.2625,0.2139,0.2151,0.3086,FALSE,label_1
sample_0047,1,type_3,54,-20.519,1537,0.5374,0.257,0.2056,0.2563,0.2811,FALSE,label_1
sample_0048,0,type_0,2,-17.26,124,0.3952,0.3226,0.2823,0.2258,0.1694,FALSE,label_1
sample_0049,1,type_0,10,-18.89,271,0.4502,0.3026,0.2472,0.2214,0.2288,FALSE,label_2
sample_0050,0,type_3,8,-17.426,312,0.5641,0.3045,0.1314,0.3269,0.2372,FALSE,label_0
sample_0051,1,type_3,13,-19.072,236,0.4576,0.1822,0.3602,0.2669,0.1907,FALSE,label_6
sample_0052,0,type_3,4,-17.562,152,0.3355,0.3421,0.3224,0.2105,0.125,FALSE,label_1
sample_0053,1,type_3,27,-20.284,793,0.541,0.2446,0.2144,0.2724,0.2686,FALSE,label_1
sample_0054,1,type_0,71,-18.863,2904,0.3454,0.3461,0.3085,0.1729,0.1725,FALSE,label_2
sample_0055,1,type_3,26,-19.386,680,0.4662,0.3426,0.1912,0.2691,0.1971,FALSE,label_1
sample_0056,0,type_3,13,-19.999,315,0.5016,0.3111,0.1873,0.254,0.2476,FALSE,label_3
sample_0057,0,type_0,5,-20.24,250,0.555,0.19,0.255,0.255,0.3,TRUE,label_0
sample_0058,0,type_0,5,-18.047,91,0.3736,0.3846,0.2418,0.0659,0.3077,FALSE,label_2
sample_0059,1,type_3,13,-19.991,303,0.5215,0.3003,0.1782,0.2574,0.264,FALSE,label_1
sample_0060,1,type_3,24,-19.474,891,0.4815,0.3423,0.1762,0.2907,0.1908,FALSE,label_1
sample_0061,1,type_3,16,-19.752,489,0.5031,0.3129,0.184,0.2556,0.2474,FALSE,label_1
sample_0062,0,type_0,6,-19.11,180,0.4778,0.2667,0.2556,0.2611,0.2167,FALSE,label_4
sample_0063,0,type_3,10,-19.496,351,0.4558,0.2906,0.2536,0.265,0.1909,FALSE,label_1
sample_0064,1,type_0,2,-18.617,145,0.4069,0.3379,0.2552,0.0828,0.3241,FALSE,label_0
sample_0065,0,type_0,17,-22.296,339,0.4395,0.2684,0.292,0.1799,0.2596,FALSE,label_2
sample_0066,0,type_3,9,-17.377,432,0.375,0.419,0.206,0.2014,0.1736,FALSE,label_0
sample_0067,0,type_1,7,-22.045,340,0.4882,0.1676,0.3441,0.3853,0.1029,FALSE,label_0
sample_0068,1,type_3,23,-17.858,384,0.401,0.3203,0.2786,0.2292,0.1719,FALSE,label_2
sample_0069,1,type_0,15,-19.332,523,0.3633,0.3155,0.3212,0.1778,0.1855,FALSE,label_5
sample_0070,1,type_0,1,-23.17,102,0.4412,0.2157,0.3431,0.2059,0.2353,FALSE,label_3
sample_0071,1,type_2,65,-17.896,2465,0.4032,0.3164,0.2803,0.2114,0.1919,FALSE,label_1
sample_0072,1,type_3,6,-18.905,201,0.4627,0.2886,0.2488,0.2289,0.2338,FALSE,label_2
sample_0073,0,type_0,11,-22.287,264,0.5227,0.2424,0.2348,0.4735,0.0492,FALSE,label_3
sample_0074,1,type_0,12,-18.984,604,0.4536,0.2566,0.2897,0.2467,0.207,FALSE,label_1
sample_0075,1,type_3,8,-20.164,441,0.4286,0.288,0.2834,0.2494,0.1791,FALSE,label_6
sample_0076,0,type_3,25,-19.709,498,0.4639,0.2811,0.255,0.1908,0.2731,FALSE,label_1
sample_0077,1,type_3,44,-19.355,792,0.5101,0.2475,0.2424,0.2753,0.2348,FALSE,label_1
sample_0078,0,type_0,5,-21.742,203,0.4483,0.3645,0.1872,0.2266,0.2217,FALSE,label_3
sample_0079,0,type_3,3,-17.844,213,0.507,0.4038,0.0892,0.3239,0.1831,FALSE,label_2
sample_0080,1,type_1,34,-19.683,1026,0.3635,0.3246,0.3119,0.1988,0.1647,FALSE,label_0
sample_0081,1,type_0,10,-21.86,174,0.4598,0.3448,0.1954,0.2701,0.1897,FALSE,label_4
sample_0082,1,type_3,10,-19.156,195,0.3077,0.2308,0.4615,0.2872,0.0205,FALSE,label_4
sample_0083,0,type_0,14,-20.906,279,0.4946,0.2294,0.276,0.2258,0.2688,FALSE,label_3
sample_0084,0,type_0,16,-19.467,335,0.4776,0.3164,0.206,0.2597,0.2179,FALSE,label_6
sample_0085,1,type_0,4,-22.255,250,0.555,0.225,0.22,0.255,0.3,TRUE,label_0
sample_0086,1,type_0,3,-18.447,250,0.31,0.365,0.325,0.13,0.18,TRUE,label_5
sample_0087,0,type_0,8,-21.004,156,0.4551,0.2756,0.2692,0.2115,0.2436,FALSE,label_2
sample_0088,1,type_2,3,-18.767,250,0.485,0.325,0.19,0.22,0.265,TRUE,label_1
sample_0089,1,type_0,7,-19.729,250,0.56,0.25,0.19,0.255,0.305,TRUE,label_1
sample_0090,1,type_0,14,-21.813,573,0.5201,0.2792,0.2007,0.2077,0.3124,FALSE,label_6
sample_0091,1,type_3,47,-19.072,1017,0.4966,0.3068,0.1967,0.2625,0.234,FALSE,label_0
sample_0092,0,type_0,16,-18.309,501,0.4611,0.2056,0.3333,0.2455,0.2156,FALSE,label_5
sample_0093,0,type_0,1,-28.46,127,0.3071,0.3386,0.3543,0.1969,0.1102,FALSE,label_2
sample_0094,1,type_3,27,-19,482,0.4585,0.2718,0.2697,0.1784,0.2801,FALSE,label_1
sample_0095,0,type_0,6,-17.784,234,0.4915,0.2436,0.265,0.265,0.2265,FALSE,label_0
sample_0096,1,type_0,3,-15.723,203,0.4729,0.202,0.3251,0.1823,0.2906,FALSE,label_0
sample_0097,0,type_0,4,-26.022,2811,0.401,0.3807,0.2184,0.1985,0.2025,TRUE,label_2
sample_0098,1,type_4,1,-15.56,250,0.5,0.23,0.27,0.255,0.245,TRUE,label_4
sample_0099,0,type_0,4,-21.927,123,0.4878,0.1707,0.3415,0.3171,0.1707,FALSE,label_3
sample_0100,0,type_0,14,-24.147,169,0.3846,0.1834,0.432,0.3609,0.0237,FALSE,label_4
sample_0101,0,type_3,36,-18.417,891,0.5253,0.2705,0.2043,0.2626,0.2626,FALSE,label_1
sample_0102,1,type_0,13,-20.032,488,0.4119,0.3668,0.2213,0.2008,0.2111,FALSE,label_0
sample_0103,1,type_0,27,-20.267,589,0.5671,0.2139,0.219,0.3294,0.2377,FALSE,label_6
sample_0104,1,type_3,40,-20.397,942,0.5998,0.1953,0.2049,0.1964,0.4034,FALSE,label_1
sample_0105,1,type_0,12,-18.1,824,0.3204,0.3398,0.3398,0.1286,0.1917,FALSE,label_1
sample_0106,0,type_0,2,-17.495,83,0.4217,0.1566,0.4217,0.1687,0.253,FALSE,label_1
sample_0107,0,type_4,66,-18.3,1983,0.3797,0.2935,0.3268,0.1957,0.1841,FALSE,label_1
sample_0108,1,type_0,10,-18.667,133,0.5188,0.218,0.2632,0.2632,0.2556,FALSE,label_4
sample_0109,1,type_0,1,-19.48,250,0.445,0.155,0.4,0.24,0.205,TRUE,label_2
sample_0110,1,type_3,5,-21.618,177,0.5198,0.1977,0.2825,0.2429,0.2768,FALSE,label_4
sample_0111,1,type_0,6,-16.958,250,0.42,0.19,0.39,0.19,0.23,TRUE,label_0
sample_0112,1,type_0,23,-20.478,431,0.5104,0.2529,0.2367,0.297,0.2135,FALSE,label_5
sample_0113,0,type_0,47,-18.505,2329,0.4053,0.2924,0.3023,0.2057,0.1997,FALSE,label_1
sample_0114,0,type_0,5,-20.564,233,0.4249,0.2747,0.3004,0.2747,0.1502,FALSE,label_3
sample_0115,0,type_0,8,-18.889,250,0.47,0.245,0.285,0.22,0.25,TRUE,label_1
sample_0116,1,type_0,25,-19.204,1232,0.4529,0.2979,0.2492,0.2313,0.2216,FALSE,label_0
sample_0117,1,type_3,65,-20.17,2236,0.5085,0.2724,0.2191,0.2487,0.2598,FALSE,label_0
sample_0118,1,type_0,7,-19.876,199,0.6332,0.1709,0.196,0.3317,0.3015,FALSE,label_4
sample_0119,0,type_0,6,-17.422,403,0.4094,0.2531,0.3375,0.3797,0.0298,FALSE,label_1
sample_0120,1,type_0,56,-19.108,2253,0.348,0.3222,0.3298,0.1491,0.1988,FALSE,label_0
sample_0121,1,type_3,4,-17.58,135,0.4296,0.363,0.2074,0.1556,0.2741,FALSE,label_3
sample_0122,1,type_0,56,-19.182,1839,0.429,0.2365,0.3344,0.236,0.193,FALSE,label_0
sample_0123,1,type_3,3,-17.602,51,0.549,0.3529,0.098,0.3333,0.2157,FALSE,label_2
sample_0124,0,type_0,6,-18.271,162,0.4506,0.2346,0.3148,0.2469,0.2037,FALSE,label_6
sample_0125,1,type_3,27,-20.75,617,0.5024,0.3063,0.1912,0.2755,0.2269,FALSE,label_2
sample_0126,1,type_0,2,-20.285,250,0.445,0.24,0.315,0.21,0.235,TRUE,label_2
sample_0127,1,type_3,46,-20.152,1272,0.5259,0.2594,0.2146,0.2484,0.2775,FALSE,label_1
sample_0128,0,type_0,4,-21.68,87,0.5402,0.2069,0.2529,0.2414,0.2989,FALSE,label_3
sample_0129,0,type_1,9,-19.564,436,0.367,0.3303,0.3028,0.2179,0.1491,FALSE,label_2
sample_0130,1,type_3,5,-20.543,262,0.4198,0.0954,0.4847,0.2939,0.126,FALSE,label_5
sample_0131,1,type_3,4,-21.72,71,0.5493,0.2113,0.2394,0.2535,0.2958,FALSE,label_3
sample_0132,0,type_0,3,-17.42,250,0.43,0.305,0.265,0.255,0.175,TRUE,label_1
sample_0133,1,type_3,1,-16.82,108,0.5185,0.3241,0.1574,0.2685,0.25,FALSE,label_3
sample_0134,1,type_3,14,-18.372,687,0.4527,0.3013,0.246,0.1965,0.2562,FALSE,label_1
sample_0135,0,type_3,13,-19.771,433,0.4319,0.3418,0.2263,0.2494,0.1824,FALSE,label_2
sample_0136,0,type_0,3,-19.353,215,0.3488,0.3302,0.3209,0.1488,0.2,FALSE,label_4
sample_0137,0,type_0,10,-18.665,253,0.5889,0.2134,0.1976,0.2846,0.3043,FALSE,label_6
sample_0138,0,type_2,6,-18.696,191,0.534,0.2356,0.2304,0.2408,0.2932,FALSE,label_0
sample_0139,1,type_0,5,-18.418,180,0.4167,0.3,0.2833,0.25,0.1667,FALSE,label_1
sample_0140,1,type_1,10,-18.546,326,0.4724,0.2362,0.2914,0.2883,0.184,FALSE,label_0
sample_0141,0,type_0,15,-16.923,207,0.3333,0.3478,0.3188,0.2126,0.1208,FALSE,label_4
sample_0142,0,type_0,34,-18.615,1558,0.353,0.3273,0.3196,0.1675,0.1855,FALSE,label_3
sample_0143,0,type_0,10,-19.822,196,0.4541,0.2704,0.2755,0.1684,0.2857,FALSE,label_0
sample_0144,0,type_0,14,-19.524,133,0.5865,0.1654,0.2481,0.3759,0.2105,FALSE,label_2
sample_0145,1,type_4,1,-15.45,250,0.435,0.29,0.275,0.24,0.195,TRUE,label_2
sample_0146,1,type_0,1,-21.8,250,0.51,0.26,0.23,0.255,0.255,TRUE,label_2
sample_0147,1,type_1,2,-21.28,177,0.3333,0.3503,0.3164,0.1638,0.1695,FALSE,label_4
sample_0148,1,type_3,38,-19.128,1180,0.5229,0.2449,0.2322,0.2737,0.2492,FALSE,label_1
sample_0149,0,type_3,9,-18.989,351,0.49,0.3675,0.1425,0.2479,0.2422,FALSE,label_1
sample_0150,1,type_0,1,-18.99,349,0.3238,0.4785,0.1977,0.2865,0.0372,FALSE,label_3
sample_0151,0,type_0,6,-18.766,250,0.5,0.295,0.205,0.22,0.28,TRUE,label_6
sample_0152,1,type_3,13,-20.8,288,0.5382,0.3056,0.1562,0.2812,0.2569,FALSE,label_4
sample_0153,1,type_0,6,-17.458,174,0.3851,0.2471,0.3678,0.2586,0.1264,FALSE,label_3
sample_0154,0,type_0,8,-18.78,291,0.3986,0.2646,0.3368,0.1993,0.1993,FALSE,label_0
sample_0155,0,type_0,22,-18.113,793,0.3934,0.3026,0.3039,0.198,0.1955,FALSE,label_0
sample_0156,0,type_0,14,-20.079,457,0.4311,0.2779,0.291,0.2276,0.2035,FALSE,label_1
sample_0157,1,type_0,6,-18.263,204,0.3873,0.3235,0.2892,0.1863,0.201,FALSE,label_2
sample_0158,1,type_2,3,-17.07,250,0.465,0.29,0.245,0.26,0.205,TRUE,label_3
sample_0159,1,type_0,47,-18.531,1865,0.3491,0.319,0.3319,0.1764,0.1727,FALSE,label_6
sample_0160,0,type_3,12,-16.475,162,0.3457,0.4506,0.2037,0.2593,0.0864,FALSE,label_1
sample_0161,0,type_0,1,-17.22,250,0.535,0.265,0.2,0.24,0.295,TRUE,label_0
sample_0162,0,type_0,2,-19.2,192,0.3229,0.3906,0.2865,0.1354,0.1875,FALSE,label_4
sample_0163,0,type_0,7,-17.307,581,0.2444,0.3718,0.3838,0.1308,0.1136,FALSE,label_0
sample_0164,0,type_3,6,-23.454,351,0.604,0.2222,0.1738,0.2279,0.3761,FALSE,label_6
sample_0165,0,type_3,22,-18.737,775,0.4477,0.3097,0.2426,0.2374,0.2103,FALSE,label_1
sample_0166,0,type_0,5,-18.74,96,0.5521,0.2604,0.1875,0.2604,0.2917,FALSE,label_6
sample_0167,0,type_4,6,-17.122,250,0.545,0.2,0.255,0.32,0.225,TRUE,label_3
sample_0168,1,type_3,9,-21.935,144,0.625,0.2222,0.1528,0.1806,0.4444,FALSE,label_0
sample_0169,0,type_0,7,-20.503,258,0.5504,0.1783,0.2713,0.314,0.2364,FALSE,label_2
